solver,num_measurements,seed,misfit,pde_err,reg,boundary,rmse,directional_rmse,angular_rmse_deg,config_id,config_label
weak_penalty,10,0,100.0,10.0,0.01,10.0,1.1023224685206403,1.4453817520214172,107.00111527333121,79,"m=1e+02, pde=1e+01, reg=1e-02, bc=1e+01"
weak_penalty,10,0,100.0,10.0,0.01,100.0,0.4798777136547697,1.36396737352839,99.70013470283946,80,"m=1e+02, pde=1e+01, reg=1e-02, bc=1e+02"
weak_penalty,10,0,100.0,10.0,0.01,1000.0,11.430026988006812,1.4294117481035375,105.29427689781683,81,"m=1e+02, pde=1e+01, reg=1e-02, bc=1e+03"
linear_least_squares,10,0,1.0,0.1,1e-06,10.0,0.17608717350626085,1.0602684807869145,81.26985545181887,1,"m=1e+00, pde=1e-01, reg=1e-06, bc=1e+01"
linear_least_squares,10,0,1.0,0.1,1e-06,100.0,0.17575850047752506,1.052670190552475,80.5527850541659,2,"m=1e+00, pde=1e-01, reg=1e-06, bc=1e+02"
linear_least_squares,10,0,1.0,0.1,1e-06,1000.0,0.17491916798828566,1.0275817185604308,78.22931530512085,3,"m=1e+00, pde=1e-01, reg=1e-06, bc=1e+03"
linear_least_squares,10,0,1.0,0.1,0.0001,10.0,0.17375662992576069,0.8070672250947329,56.199205219108734,4,"m=1e+00, pde=1e-01, reg=1e-04, bc=1e+01"
linear_least_squares,10,0,1.0,0.1,0.0001,100.0,0.17379053162615174,0.8072729568927635,56.235005538252295,5,"m=1e+00, pde=1e-01, reg=1e-04, bc=1e+02"
linear_least_squares,10,0,1.0,0.1,0.0001,1000.0,0.17388369377683024,0.8101358021259534,56.40865101702736,6,"m=1e+00, pde=1e-01, reg=1e-04, bc=1e+03"
linear_least_squares,10,0,1.0,0.1,0.01,10.0,0.18242707541794473,0.6472502189407304,44.514519196830726,7,"m=1e+00, pde=1e-01, reg=1e-02, bc=1e+01"
linear_least_squares,10,0,1.0,0.1,0.01,100.0,0.18280481151487826,0.6464729468497248,44.468919455525636,8,"m=1e+00, pde=1e-01, reg=1e-02, bc=1e+02"
linear_least_squares,10,0,1.0,0.1,0.01,1000.0,0.1828444706038639,0.6463460155874513,44.45844083222485,9,"m=1e+00, pde=1e-01, reg=1e-02, bc=1e+03"
linear_least_squares,10,0,1.0,1.0,1e-06,10.0,0.18583987717027986,1.4199498121201641,115.70364662719837,10,"m=1e+00, pde=1e+00, reg=1e-06, bc=1e+01"
linear_least_squares,10,0,1.0,1.0,1e-06,100.0,0.18570207067464367,1.4249870998284606,115.79632427308137,11,"m=1e+00, pde=1e+00, reg=1e-06, bc=1e+02"
linear_least_squares,10,0,1.0,1.0,1e-06,1000.0,0.18563646587641433,1.4197477573634028,114.8159447735017,12,"m=1e+00, pde=1e+00, reg=1e-06, bc=1e+03"
linear_least_squares,10,0,1.0,1.0,0.0001,10.0,0.17698404179745128,0.9662573070546283,73.24364961901652,13,"m=1e+00, pde=1e+00, reg=1e-04, bc=1e+01"
linear_least_squares,10,0,1.0,1.0,0.0001,100.0,0.17696740802259112,0.9658603765370011,73.18924906834918,14,"m=1e+00, pde=1e+00, reg=1e-04, bc=1e+02"
linear_least_squares,10,0,1.0,1.0,0.0001,1000.0,0.17686283333544156,0.9622245683209123,73.0011997042274,15,"m=1e+00, pde=1e+00, reg=1e-04, bc=1e+03"
linear_least_squares,10,0,1.0,1.0,0.01,10.0,0.18271819116413127,0.6511456704984067,44.44435035297964,16,"m=1e+00, pde=1e+00, reg=1e-02, bc=1e+01"
linear_least_squares,10,0,1.0,1.0,0.01,100.0,0.18313065231085307,0.6506046644252179,44.38932749774317,17,"m=1e+00, pde=1e+00, reg=1e-02, bc=1e+02"
linear_least_squares,10,0,1.0,1.0,0.01,1000.0,0.18317388926294026,0.650612908787524,44.38792488546244,18,"m=1e+00, pde=1e+00, reg=1e-02, bc=1e+03"
linear_least_squares,10,0,1.0,10.0,1e-06,10.0,0.19231177621726125,1.3931290564924383,111.4937962809892,19,"m=1e+00, pde=1e+01, reg=1e-06, bc=1e+01"
linear_least_squares,10,0,1.0,10.0,1e-06,100.0,0.19232634346423413,1.3908334463160332,111.42489300677934,20,"m=1e+00, pde=1e+01, reg=1e-06, bc=1e+02"
linear_least_squares,10,0,1.0,10.0,1e-06,1000.0,0.19200074709202938,1.387917746806652,111.04311947635948,21,"m=1e+00, pde=1e+01, reg=1e-06, bc=1e+03"
linear_least_squares,10,0,1.0,10.0,0.0001,10.0,0.1763513356376577,1.0618661704704297,81.3574341464074,22,"m=1e+00, pde=1e+01, reg=1e-04, bc=1e+01"
linear_least_squares,10,0,1.0,10.0,0.0001,100.0,0.1763895633561559,1.0627237225824144,81.43926424226574,23,"m=1e+00, pde=1e+01, reg=1e-04, bc=1e+02"
linear_least_squares,10,0,1.0,10.0,0.0001,1000.0,0.176371874710409,1.0605224656118735,81.3496283433435,24,"m=1e+00, pde=1e+01, reg=1e-04, bc=1e+03"
linear_least_squares,10,0,1.0,10.0,0.01,10.0,0.18521977297324582,0.7997949178852876,55.328210340964155,25,"m=1e+00, pde=1e+01, reg=1e-02, bc=1e+01"
linear_least_squares,10,0,1.0,10.0,0.01,100.0,0.1858009771912682,0.8071660530355079,56.08204910952796,26,"m=1e+00, pde=1e+01, reg=1e-02, bc=1e+02"
linear_least_squares,10,0,1.0,10.0,0.01,1000.0,0.1858621640817425,0.8078022243921685,56.13704621685596,27,"m=1e+00, pde=1e+01, reg=1e-02, bc=1e+03"
linear_least_squares,10,0,10.0,0.1,1e-06,10.0,0.17608478682219886,1.0603113881175563,81.27621122963396,28,"m=1e+01, pde=1e-01, reg=1e-06, bc=1e+01"
linear_least_squares,10,0,10.0,0.1,1e-06,100.0,0.17576234716383937,1.052956627618201,80.59699065496461,29,"m=1e+01, pde=1e-01, reg=1e-06, bc=1e+02"
linear_least_squares,10,0,10.0,0.1,1e-06,1000.0,0.17502239801831632,1.031158186728482,78.51375030884097,30,"m=1e+01, pde=1e-01, reg=1e-06, bc=1e+03"
linear_least_squares,10,0,10.0,0.1,0.0001,10.0,0.17357471855756024,0.8070764060191098,56.206750767339194,31,"m=1e+01, pde=1e-01, reg=1e-04, bc=1e+01"
linear_least_squares,10,0,10.0,0.1,0.0001,100.0,0.1736056102874073,0.8071609636789105,56.21802535554068,32,"m=1e+01, pde=1e-01, reg=1e-04, bc=1e+02"
linear_least_squares,10,0,10.0,0.1,0.0001,1000.0,0.173711220673159,0.8104416456797424,56.43052393532236,33,"m=1e+01, pde=1e-01, reg=1e-04, bc=1e+03"
linear_least_squares,10,0,10.0,0.1,0.01,10.0,0.17348779637209055,0.6574233025104105,45.00988396836338,34,"m=1e+01, pde=1e-01, reg=1e-02, bc=1e+01"
linear_least_squares,10,0,10.0,0.1,0.01,100.0,0.1739379504803939,0.6569936755874165,44.991571193893314,35,"m=1e+01, pde=1e-01, reg=1e-02, bc=1e+02"
